,,,1,2,3,4,5,6,7,8,9,10,11,12,SVO
,,Manipulations,,,,,,,,,,,,,
Structure,1,1. Structure,,,,,,,,,,,,,
Motivation,2,2. Motivation,-0.01,,,,,,,,,,,,
,,Items Shared,,,,,,,,,,,,,
Common High,3,3. Common High,-0.07, 0.27*,,,,,,,,,,,
Common Low,4,4. Common Low,0.05,0.12,0.09,,,,,,,,,,
Unique High,5,5. Unique High,-0.27*, 0.26*, 0.60*,-0.09,,,,,,,,,
Unique Low,6,6. Unique Low,-0.05,0.13,0.12, 0.30*,0.06,,,,,,,,
,,Cooperation,,,,,,,,,,,,,
StateCompCoop,7,State Cooperation,-0.27*, 0.33*, 0.35*,-0.04, 0.51*, 0.21*,,,,,,,
,,Controls,,,,,,,,,,,,,
Age,8,8. Age,0.03,-0.01,0.1,0.18,0.07,0,0.16,,,,,,
Sex,9,9. Sex,0.01,0.13,-0.23*,0.01,-0.15,-0.09,-0.08,-0.34*,,,,,
SES,10,10. SES,0.02,0.17,0.02,0.06,0.04,0.15,0.14,0.01,-0.09,,,,
NFC,11,11. NFC,-0.08,-0.14, 0.20*,0.17,0.01, 0.27*,-0.03,0.11,-0.12,0.03,,,
Dirty Dozen,12,12. Dirty Dozen,0.12,-0.20*,-0.24*,-0.06,-0.29*,-0.13,-0.45*,-0.28*,-0.11,-0.04,-0.02,,
SVO,13,13. SVO,-0.11,0.05,0.14,0.11, 0.19*, 0.22*,0.17, 0.22*,-0.03,0.14,0.09,-0.54*,
