,Q16.1_1,Q16.1_2,Q16.1_3,Q16.1_4,RQ16.1_1,RQ16.1_2,RQ16.1_3,RQ16.1_4,Q16.1_5,Q16.1_6,Q16.1_7,Q16.1_8,Manipulation_Coop_Mean,Manipulation_Comp_Mean,RManipulation_CoMp_Mean,Manipulation_Mean
Q16.1_1,1(NA),(),(),(),(),(),(),(),(),(),(),(),(),(),(),()
Q16.1_2,0.5(0),1(NA),(),(),(),(),(),(),(),(),(),(),(),(),(),()
Q16.1_3,0.46(0),0.51(0),1(NA),(),(),(),(),(),(),(),(),(),(),(),(),()
Q16.1_4,0.29(0),0.36(0),0.47(0),1(NA),(),(),(),(),(),(),(),(),(),(),(),()
RQ16.1_1,-1(0),-0.5(0),-0.46(0),-0.29(0),1(NA),(),(),(),(),(),(),(),(),(),(),()
RQ16.1_2,-0.5(0),-1(0),-0.51(0),-0.36(0),0.5(0),1(NA),(),(),(),(),(),(),(),(),(),()
RQ16.1_3,-0.46(0),-0.51(0),-1(0),-0.47(0),0.46(0),0.51(0),1(NA),(),(),(),(),(),(),(),(),()
RQ16.1_4,-0.29(0),-0.36(0),-0.47(0),-1(0),0.29(0),0.36(0),0.47(0),1(NA),(),(),(),(),(),(),(),()
Q16.1_5,-0.48(0),-0.34(0),-0.29(0),-0.28(0),0.48(0),0.34(0),0.29(0),0.28(0),1(NA),(),(),(),(),(),(),()
Q16.1_6,-0.31(0),-0.18(0.05),-0.24(0.01),-0.16(0.09),0.31(0),0.18(0.05),0.24(0.01),0.16(0.09),0.76(0),1(NA),(),(),(),(),(),()
Q16.1_7,-0.37(0),-0.25(0.01),-0.24(0.01),-0.26(0.01),0.37(0),0.25(0.01),0.24(0.01),0.26(0.01),0.64(0),0.54(0),1(NA),(),(),(),(),()
Q16.1_8,-0.25(0.01),-0.16(0.09),-0.05(0.59),-0.08(0.41),0.25(0.01),0.16(0.09),0.05(0.59),0.08(0.41),0.55(0),0.53(0),0.44(0),1(NA),(),(),(),()
Manipulation_Coop_Mean,-0.43(0),-0.28(0),-0.27(0.01),-0.24(0.01),0.43(0),0.28(0),0.27(0.01),0.24(0.01),0.89(0),0.88(0),0.79(0),0.72(0),1(NA),(),(),()
Manipulation_Comp_Mean,0.73(0),0.77(0),0.8(0),0.69(0),-0.73(0),-0.77(0),-0.8(0),-0.69(0),-0.45(0),-0.27(0),-0.38(0),-0.17(0.07),-0.39(0),1(NA),(),()
RManipulation_CoMp_Mean,-0.73(0),-0.77(0),-0.8(0),-0.69(0),0.73(0),0.77(0),0.8(0),0.69(0),0.45(0),0.27(0),0.38(0),0.17(0.07),0.39(0),-1(0),1(NA),()
Manipulation_Mean,-0.66(0),-0.58(0),-0.6(0),-0.53(0),0.66(0),0.58(0),0.6(0),0.53(0),0.84(0),0.72(0),0.72(0),0.56(0),0.87(0),-0.78(0),0.78(0),1(NA)
